Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
43,Felix Agu,ng NGA,"DF,MF",Werder Bremen,de Bundesliga,25,1999,11,9,744,8.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
44,Diego Aguado,es ESP,DF,Real Madrid,es La Liga,18,2007,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
45,Marc Aguado,es ESP,MF,Elche,es La Liga,25,2000,35,30,"2,500",27.8,1,2,3,1,0,0,3,0,0.04,0.07,0.11,0.04,0.11,Matches
46,Pablo Agudín,es ESP,MF,Oviedo,es La Liga,17,2007,7,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
47,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,29,1996,16,16,"1,396",15.5,1,0,1,1,0,0,4,0,0.06,0,0.06,0.06,0.06,Matches
48,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,29,1996,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
49,Ruben Aguilar,fr FRA,MF,Lens,fr Ligue 1,32,1993,26,20,"1,720",19.1,2,2,4,2,0,0,6,1,0.1,0.1,0.21,0.1,0.21,Matches
50,Ibai Aguirre,es ESP,MF,Real Sociedad,es La Liga,18,2007,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Naouirou Ahamada,fr FRA,MF,Auxerre,fr Ligue 1,23,2002,15,8,682,7.6,0,1,1,0,0,0,0,0,0,0.13,0.13,0,0.13,Matches
52,Honest Ahanor,it ITA,DF,Atalanta,it Serie A,17,2008,22,15,"1,377",15.3,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
53,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,30,1995,20,11,"1,098",12.2,0,1,1,0,0,0,3,0,0,0.08,0.08,0,0.08,Matches
54,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,29,1995,8,7,639,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
